"","V1","V2","V3"
"1","2015","1","266.659603389081"
"2","2015","2","268.915166310077"
"3","2015","3","268.022403084205"
"4","2015","4","272.373240507314"
"5","2015","5","270.685908845816"
"6","2015","6","262.187893851464"
"7","2015","7","263.914816165049"
"8","2015","8","257.036000840211"
"9","2015","9","263.20136436369"
"10","2015","10","263.410867576662"
"11","2015","11","262.538756194603"
"12","2015","12","268.671207051521"
"13","2015","13","265.513012717085"
"14","2015","14","259.894042946536"
"15","2015","15","264.00328250666"
"16","2015","16","265.714219990885"
"17","2015","17","258.986144061913"
"18","2015","18","266.815233652363"
"19","2015","19","273.245655866227"
"20","2015","20","267.588678543651"
"21","2015","21","264.081706322919"
"22","2015","22","266.097768279276"
"23","2015","23","265.535360958559"
"24","2015","24","268.515431975889"
"25","2015","25","267.45466469272"
"26","2015","26","261.444909317928"
"27","2015","27","263.606075394376"
"28","2015","28","261.01692899923"
"29","2015","29","260.636506361116"
"30","2015","30","268.786230423377"
"31","2015","31","259.709834252008"
"32","2015","32","259.610970377895"
"33","2015","33","262.066553376066"
"34","2015","34","258.110478701832"
"35","2015","35","261.410103962042"
"36","2015","36","267.780089542582"
"37","2015","37","255.057696570358"
"38","2015","38","262.149387905797"
"39","2015","39","265.944628796414"
"40","2015","40","265.125664452196"
"41","2015","41","266.198589835682"
"42","2015","42","262.334823407318"
"43","2015","43","263.7568847859"
"44","2015","44","259.910307053758"
"45","2015","45","255.861731161656"
"46","2015","46","261.438033406721"
"47","2015","47","253.269166650843"
"48","2015","48","254.617245559647"
"49","2015","49","259.140415355884"
"50","2015","50","263.792806150298"
"51","2015","51","257.938314923042"
"52","2015","52","256.008673597243"
"53","2015","53","269.820888524662"
"54","2015","54","263.037107360496"
"55","2015","55","253.640837515707"
"56","2015","56","262.520043098961"
"57","2015","57","261.812700714552"
"58","2015","58","261.51234608072"
"59","2015","59","259.015061603186"
"60","2015","60","259.613771074152"
"61","2015","61","267.680521551818"
"62","2015","62","263.87584750556"
"63","2015","63","270.513037732226"
"64","2015","64","268.423584872232"
"65","2015","65","259.210526772406"
"66","2015","66","262.542089194339"
"67","2015","67","268.604543610195"
"68","2015","68","267.629840869894"
"69","2015","69","269.020879924766"
"70","2015","70","273.584832046054"
"71","2015","71","270.022002266068"
"72","2015","72","265.371255564685"
"73","2015","73","270.078979992775"
"74","2015","74","272.794707375783"
"75","2015","75","269.660014939194"
"76","2015","76","271.598734351921"
"77","2015","77","265.916407484948"
"78","2015","78","264.861350843103"
"79","2015","79","266.08397229673"
"80","2015","80","271.230089659305"
"81","2015","81","266.569180914846"
"82","2015","82","262.506913115476"
"83","2015","83","265.323148337505"
"84","2015","84","268.660023359122"
"85","2015","85","274.395075337209"
"86","2015","86","274.342119256226"
"87","2015","87","269.797820244757"
"88","2015","88","268.903301863674"
"89","2015","89","269.558915375401"
"90","2015","90","273.166559356227"
"91","2015","91","269.902137652719"
"92","2015","92","270.894648997504"
"93","2015","93","278.864938482144"
"94","2015","94","275.882216618834"
"95","2015","95","271.935231422231"
"96","2015","96","273.657498257377"
"97","2015","97","276.196128811925"
"98","2015","98","271.798774328787"
"99","2015","99","272.608254285646"
"100","2015","100","275.064261693612"
"101","2015","101","277.151101513537"
"102","2015","102","277.72341413452"
"103","2015","103","280.80402785492"
"104","2015","104","283.629603395186"
"105","2015","105","280.094938382904"
"106","2015","106","279.658095292933"
"107","2015","107","281.595194198245"
"108","2015","108","284.398986370554"
"109","2015","109","283.123418265147"
"110","2015","110","278.096385954069"
"111","2015","111","282.115537589562"
"112","2015","112","281.824228409574"
"113","2015","113","279.020026223368"
"114","2015","114","275.674820087004"
"115","2015","115","276.364622217256"
"116","2015","116","278.520543081272"
"117","2015","117","279.637709288794"
"118","2015","118","281.675830912668"
"119","2015","119","283.113035331671"
"120","2015","120","283.497791484825"
"121","2015","121","282.763025650463"
"122","2015","122","286.086663306897"
"123","2015","123","288.271811638145"
"124","2015","124","288.824216436038"
"125","2015","125","290.322484120197"
"126","2015","126","286.815583525547"
"127","2015","127","287.659807920292"
"128","2015","128","289.930714878635"
"129","2015","129","290.980694536293"
"130","2015","130","293.717079358065"
"131","2015","131","295.14412842901"
"132","2015","132","293.788719236808"
"133","2015","133","285.96480887042"
"134","2015","134","283.243338642704"
"135","2015","135","284.518875685743"
"136","2015","136","288.065039423385"
"137","2015","137","292.943980466618"
"138","2015","138","290.518405873385"
"139","2015","139","291.004295440586"
"140","2015","140","287.544168116401"
"141","2015","141","282.258486247601"
"142","2015","142","285.772289035924"
"143","2015","143","281.016729244083"
"144","2015","144","284.373146708137"
"145","2015","145","288.603317157041"
"146","2015","146","294.239980870196"
"147","2015","147","295.626236677896"
"148","2015","148","295.081213427217"
"149","2015","149","292.943002099943"
"150","2015","150","293.283789611874"
"151","2015","151","292.305857209934"
"152","2015","152","284.427406569482"
"153","2015","153","283.91745537286"
"154","2015","154","286.612168309449"
"155","2015","155","287.807721394321"
"156","2015","156","287.705641926041"
"157","2015","157","289.617826971903"
"158","2015","158","286.111689496888"
"159","2015","159","287.910344436639"
"160","2015","160","292.858558851399"
"161","2015","161","291.629479165099"
"162","2015","162","293.298365459927"
"163","2015","163","292.13339221847"
"164","2015","164","294.094899652828"
"165","2015","165","291.580865586274"
"166","2015","166","288.777548985558"
"167","2015","167","290.368726519158"
"168","2015","168","291.279455792705"
"169","2015","169","289.813677331111"
"170","2015","170","293.013774409822"
"171","2015","171","288.841712632282"
"172","2015","172","292.535050288894"
"173","2015","173","294.077585746338"
"174","2015","174","293.08339326209"
