"","V1","V2"
"396",736108.75,68.77
"397",736108.760416667,68.55
"398",736108.770833333,68.17
"399",736108.78125,68.2
"400",736108.791666667,68.65
"401",736108.802083333,68.4
"402",736108.8125,68.5
"403",736108.822916667,68.68
"404",736108.833333333,68.95
"405",736108.84375,69.08
"406",736108.854166667,69.46
"407",736108.864583333,69.68
"408",736108.875,70.1
"409",736108.885416667,70.43
"410",736108.895833333,70.4
"411",736108.90625,70.57
"412",736108.916666667,70.74
"413",736108.927083333,70.8
"414",736108.9375,71.02
"415",736108.947916667,71.38
"416",736108.958333333,71.36
"417",736108.96875,71.44
"418",736108.979166667,71.32
"419",736108.989583333,71.62
"420",736109,71.75
"421",736109.010416667,71.63
"422",736109.020833333,71.74
"423",736109.03125,70.93
"424",736109.041666667,71.97
"425",736109.052083333,71.94
"426",736109.0625,72.21
"427",736109.072916667,72.09
"428",736109.083333333,72.23
"429",736109.09375,72.13
"430",736109.104166667,72.2
"431",736109.114583333,72.33
"432",736109.125,72.35
"433",736109.135416667,72.61
"434",736109.145833333,72.61
"435",736109.15625,72.57
"436",736109.166666667,72.73
"437",736109.177083333,72.95
"438",736109.1875,73.04
"439",736109.197916667,73.11
"440",736109.208333333,73.02
"441",736109.21875,73.35
"442",736109.229166667,73.33
"443",736109.239583333,73.43
"444",736109.25,73.59
"445",736109.260416667,73.67
"446",736109.270833333,73.86
"447",736109.28125,73.76
"448",736109.291666667,73.88
"449",736109.302083333,73.8
"450",736109.3125,73.84
"451",736109.322916667,74.03
"452",736109.333333333,73.9
"453",736109.34375,74.05
"454",736109.354166667,74.25
"455",736109.364583333,74.12
"456",736109.375,74.29
"457",736109.385416667,74.4
"458",736109.395833333,74.33
"459",736109.40625,74.49
"460",736109.416666667,74.67
"461",736109.427083333,74.47
"462",736109.4375,74.62
"463",736109.447916667,74.59
"464",736109.458333333,74.59
"465",736109.46875,74.55
"466",736109.479166667,74.44
"467",736109.489583333,58.88
"468",736109.5,74.42
"469",736109.510416667,74.29
"470",736109.520833333,74.2
"471",736109.53125,74.28
"472",736109.541666667,74.12
"473",736109.552083333,73.92
"474",736109.5625,73.65
"475",736109.572916667,73.42
"476",736109.583333333,73.71
"477",736109.59375,73.73
"478",736109.604166667,73.27
"479",736109.614583333,73.03
"480",736109.625,73.1
"481",736109.635416667,72.72
"482",736109.645833333,72.31
"483",736109.65625,71.83
"484",736109.666666667,71.34
"485",736109.677083333,71.26
"486",736109.6875,71.16
"487",736109.697916667,71.04
"488",736109.708333333,70.68
"489",736109.71875,70.81
"490",736109.729166667,70.45
"491",736109.739583333,70.15
"492",736109.75,69.44
"493",736109.760416667,69.16
"494",736109.770833333,69.08
"495",736109.78125,67.83
"496",736109.791666667,68.01
"497",736109.802083333,67.97
"498",736109.8125,68.35
"499",736109.822916667,68.23
"500",736109.833333333,68.27
"501",736109.84375,68.54
"502",736109.854166667,68.59
"503",736109.864583333,68.71
"504",736109.875,68.64
"505",736109.885416667,69.03
"506",736109.895833333,68.88
"507",736109.90625,69.12
"508",736109.916666667,69.37
"509",736109.927083333,69.22
"510",736109.9375,69.19
"511",736109.947916667,69.37
"512",736109.958333333,69.36
"513",736109.96875,69.34
"514",736109.979166667,69.4
"515",736109.989583333,69.46
"516",736110,69.62
"517",736110.010416667,69.47
"518",736110.020833333,69.7
"519",736110.03125,69.53
"520",736110.041666667,69.9
"521",736110.052083333,69.81
"522",736110.0625,69.63
"523",736110.072916667,69.8
"524",736110.083333333,69.84
"525",736110.09375,69.73
"526",736110.104166667,69.79
"527",736110.114583333,70
"528",736110.125,69.93
"529",736110.135416667,69.88
"530",736110.145833333,70.06
"531",736110.15625,70.1
"532",736110.166666667,70.02
"533",736110.177083333,70.21
"534",736110.1875,70.21
"535",736110.197916667,70.31
"536",736110.208333333,70.33
"537",736110.21875,70.44
"538",736110.229166667,70.53
"539",736110.239583333,70.34
"540",736110.25,70.53
"541",736110.260416667,70.56
"542",736110.270833333,70.69
"543",736110.28125,70.7
"544",736110.291666667,70.77
"545",736110.302083333,70.82
"546",736110.3125,70.86
"547",736110.322916667,70.95
"548",736110.333333333,70.96
"549",736110.34375,70.95
"550",736110.354166667,70.98
"551",736110.364583333,71.08
"552",736110.375,71.05
"553",736110.385416667,71.22
"554",736110.395833333,71.3
"555",736110.40625,71.21
"556",736110.416666667,71.25
"557",736110.427083333,71.29
"558",736110.4375,71.15
"559",736110.447916667,71.39
"560",736110.458333333,71.35
"561",736110.46875,71.32
"562",736110.479166667,71.42
"563",736110.489583333,71.47
"564",736110.5,71.27
"565",736110.510416667,71.08
"566",736110.520833333,71.23
"567",736110.53125,70.75
"568",736110.541666667,70.71
"569",736110.552083333,70.8
"570",736110.5625,70.38
"571",736110.572916667,70.45
"572",736110.583333333,70.41
"573",736110.59375,70.38
"574",736110.604166667,70.25
"575",736110.614583333,69.9
"576",736110.625,69.72
"577",736110.635416667,69.47
"578",736110.645833333,69.13
"579",736110.65625,68.89
"580",736110.666666667,68.55
"581",736110.677083333,68.56
"582",736110.6875,68.08
"583",736110.697916667,67.03
"584",736110.708333333,66.94
"585",736110.71875,66.01
"586",736110.729166667,65.43
"587",736110.739583333,65.14
"588",736110.75,64.92
"589",736110.760416667,64.62
"590",736110.770833333,64.39
"591",736110.78125,64.87
"592",736110.791666667,64.91
"593",736110.802083333,64.93
"594",736110.8125,65.38
"595",736110.822916667,65.28
"596",736110.833333333,65.56
"597",736110.84375,65.72
"598",736110.854166667,65.84
"599",736110.864583333,65.93
"600",736110.875,66.25
"601",736110.885416667,66.15
"602",736110.895833333,66.33
"603",736110.90625,66.53
"604",736110.916666667,66.71
"605",736110.927083333,66.78
"606",736110.9375,66.93
"607",736110.947916667,67
"608",736110.958333333,67.23
"609",736110.96875,67.35
"610",736110.979166667,67.49
"611",736110.989583333,67.61
"612",736111,67.64
"613",736111.010416667,67.64
"614",736111.020833333,67.89
"615",736111.03125,67.98
"616",736111.041666667,67.92
"617",736111.052083333,67.88
"618",736111.0625,68.16
"619",736111.072916667,68.12
"620",736111.083333333,68.09
"621",736111.09375,68.07
"622",736111.104166667,68.13
"623",736111.114583333,68.27
"624",736111.125,68.09
"625",736111.135416667,68.18
"626",736111.145833333,68.25
"627",736111.15625,68.31
"628",736111.166666667,68.1
"629",736111.177083333,68.39
"630",736111.1875,68.35
"631",736111.197916667,68.51
"632",736111.208333333,68.6
"633",736111.21875,68.52
"634",736111.229166667,68.57
"635",736111.239583333,68.64
"636",736111.25,68.85
"637",736111.260416667,68.78
"638",736111.270833333,68.72
"639",736111.28125,68.92
"640",736111.291666667,69.17
"641",736111.302083333,69.06
"642",736111.3125,69.19
"643",736111.322916667,69.14
"644",736111.333333333,69.29
"645",736111.34375,69.14
"646",736111.354166667,69.33
"647",736111.364583333,69.25
"648",736111.375,69.48
"649",736111.385416667,69.31
"650",736111.395833333,69.49
"651",736111.40625,69.51
"652",736111.416666667,69.37
"653",736111.427083333,69.44
"654",736111.4375,69.52
"655",736111.447916667,69.42
"656",736111.458333333,69.43
"657",736111.46875,69.37
"658",736111.479166667,69.38
"659",736111.489583333,69.06
"660",736111.5,68.89
"661",736111.510416667,69.06
"662",736111.520833333,68.94
"663",736111.53125,68.83
"664",736111.541666667,68.82
"665",736111.552083333,68.61
"666",736111.5625,68.3
"667",736111.572916667,68.11
"668",736111.583333333,67.62
"669",736111.59375,67.13
"670",736111.604166667,66.64
"671",736111.614583333,66.06
"672",736111.625,65.5
"673",736111.635416667,65.22
"674",736111.645833333,65.57
"675",736111.65625,65.21
"676",736111.666666667,64.66
"677",736111.677083333,64.23
"678",736111.6875,64.16
"679",736111.697916667,64.08
"680",736111.708333333,64.31
"681",736111.71875,64.43
"682",736111.729166667,64.28
"683",736111.739583333,63.88
"684",736111.75,63.56
"685",736111.760416667,63.99
"686",736111.770833333,63.29
"687",736111.78125,63.47
"688",736111.791666667,63.07
"689",736111.802083333,63.68
"690",736111.8125,63.65
"691",736111.822916667,63.76
"692",736111.833333333,63.99
"693",736111.84375,63.9
"694",736111.854166667,63.97
"695",736111.864583333,64.11
"696",736111.875,64.24
"697",736111.885416667,64.4
"698",736111.895833333,64.57
"699",736111.90625,64.65
"700",736111.916666667,65.12
"701",736111.927083333,65.17
"702",736111.9375,65.23
"703",736111.947916667,65.42
"704",736111.958333333,65.46
"705",736111.96875,64.98
"706",736111.979166667,66.32
"707",736111.989583333,67.93
"708",736112,68.59
"709",736112.010416667,69.04
"710",736112.020833333,69.42
"711",736112.03125,69.78
"712",736112.041666667,70.06
"713",736112.052083333,71.01
"714",736112.0625,71.25
"715",736112.072916667,71.73
"716",736112.083333333,71.86
"717",736112.09375,71.8
"718",736112.104166667,71.47
"719",736112.114583333,71.53
"720",736112.125,71.63
"721",736112.135416667,71.72
"722",736112.145833333,71.99
"723",736112.15625,72.23
"724",736112.166666667,72.15
"725",736112.177083333,72.04
"726",736112.1875,72
"727",736112.197916667,72.1
"728",736112.208333333,71.92
"729",736112.21875,71.98
"730",736112.229166667,72.09
"731",736112.239583333,72.2
"732",736112.25,72.19
"733",736112.260416667,72.51
"734",736112.270833333,72.68
"735",736112.28125,72.62
"736",736112.291666667,73.04
"737",736112.302083333,73.41
"738",736112.3125,73.55
"739",736112.322916667,73.65
"740",736112.333333333,73.84
"741",736112.34375,73.89
"742",736112.354166667,74.32
"743",736112.364583333,74.3
"744",736112.375,74.56
"745",736112.385416667,74.46
"746",736112.395833333,74.48
"747",736112.40625,74.46
"748",736112.416666667,74.29
"749",736112.427083333,74.18
"750",736112.4375,73.92
"751",736112.447916667,74.04
"752",736112.458333333,74.04
"753",736112.46875,73.86
"754",736112.479166667,73.69
"755",736112.489583333,73.66
"756",736112.5,73.52
"757",736112.510416667,73.31
"758",736112.520833333,73.06
"759",736112.53125,72.96
"760",736112.541666667,72.6
"761",736112.552083333,72.22
"762",736112.5625,72.03
"763",736112.572916667,71.44
"764",736112.583333333,70.86
"765",736112.59375,70.38
"766",736112.604166667,69.76
"767",736112.614583333,69.03
"768",736112.625,68.45
"769",736112.635416667,67.69
"770",736112.645833333,67.19
"771",736112.65625,66.69
"772",736112.666666667,66.34
"773",736112.677083333,65.77
"774",736112.6875,65.5
"775",736112.697916667,65.41
"776",736112.708333333,65.34
"777",736112.71875,65.28
"778",736112.729166667,65.14
"779",736112.739583333,65.03
"780",736112.75,65.17
"781",736112.760416667,65.2
"782",736112.770833333,65.16
"783",736112.78125,65.49
"784",736112.791666667,65.79
"785",736112.802083333,66.07
"786",736112.8125,66.53
"787",736112.822916667,66.63
"788",736112.833333333,66.75
"789",736112.84375,66.61
"790",736112.854166667,66.93
"791",736112.864583333,66.85
"792",736112.875,66.93
"793",736112.885416667,67.12
"794",736112.895833333,67.19
"795",736112.90625,67.58
"796",736112.916666667,68.04
"797",736112.927083333,68.41
"798",736112.9375,68.44
"799",736112.947916667,68.79
"800",736112.958333333,68.89
"801",736112.96875,69.25
"802",736112.979166667,69.41
"803",736112.989583333,69.67
"804",736113,69.87
"805",736113.010416667,69.93
"806",736113.020833333,70.19
"807",736113.03125,70.31
"808",736113.041666667,70.51
"809",736113.052083333,70.65
"810",736113.0625,70.66
"811",736113.072916667,71.08
"812",736113.083333333,71.08
"813",736113.09375,71.33
"814",736113.104166667,71.44
"815",736113.114583333,71.51
"816",736113.125,71.71
"817",736113.135416667,71.97
"818",736113.145833333,71.97
"819",736113.15625,72.25
"820",736113.166666667,72.43
"821",736113.177083333,72.37
"822",736113.1875,72.66
"823",736113.197916667,72.73
"824",736113.208333333,72.93
"825",736113.21875,72.91
"826",736113.229166667,73.08
"827",736113.239583333,73.32
"828",736113.25,73.38
"829",736113.260416667,73.78
"830",736113.270833333,73.87
"831",736113.28125,73.74
"832",736113.291666667,73.8
"833",736113.302083333,74.01
"834",736113.3125,74.12
"835",736113.322916667,74.16
"836",736113.333333333,74.2
"837",736113.34375,74.4
"838",736113.354166667,74.54
"839",736113.364583333,74.51
"840",736113.375,74.63
"841",736113.385416667,72.8
"842",736113.395833333,74.67
"843",736113.40625,74.8
"844",736113.416666667,74.95
"845",736113.427083333,74.89
"846",736113.4375,75.1
"847",736113.447916667,74.71
"848",736113.458333333,74.58
"849",736113.46875,74.45
"850",736113.479166667,74.91
"851",736113.489583333,74.85
"852",736113.5,74.89
"853",736113.510416667,74.78
"854",736113.520833333,74.52
"855",736113.53125,74.63
"856",736113.541666667,74.51
"857",736113.552083333,74.37
"858",736113.5625,74.03
"859",736113.572916667,73.57
"860",736113.583333333,73.29
"861",736113.59375,72.51
"862",736113.604166667,71.77
"863",736113.614583333,71.31
"864",736113.625,70.38
"865",736113.635416667,69.58
"866",736113.645833333,68.57
"867",736113.65625,68.3
"868",736113.666666667,67.6
"869",736113.677083333,66.93
"870",736113.6875,66.56
"871",736113.697916667,65.81
"872",736113.708333333,65.66
"873",736113.71875,65.58
"874",736113.729166667,65.46
"875",736113.739583333,65.21
"876",736113.75,64.98
"877",736113.760416667,65.03
"878",736113.770833333,65.21
"879",736113.78125,64.57
"880",736113.791666667,64.59
"881",736113.802083333,65.04
"882",736113.8125,65.5
"883",736113.822916667,65.06
"884",736113.833333333,65.85
"885",736113.84375,66.15
"886",736113.854166667,66.51
"887",736113.864583333,66.8
"888",736113.875,66.77
"889",736113.885416667,67.22
"890",736113.895833333,66.92
"891",736113.90625,66.8
"892",736113.916666667,67.66
"893",736113.927083333,68.33
"894",736113.9375,67.74
"895",736113.947916667,68.18
"896",736113.958333333,68.35
"897",736113.96875,68.79
"898",736113.979166667,68.94
"899",736113.989583333,68.96
"900",736114,69.03
"901",736114.010416667,68.97
"902",736114.020833333,69.33
"903",736114.03125,69.29
"904",736114.041666667,69.29
"905",736114.052083333,69.1
"906",736114.0625,69.28
"907",736114.072916667,69.33
"908",736114.083333333,69.62
"909",736114.09375,69.64
"910",736114.104166667,69.82
"911",736114.114583333,69.9
"912",736114.125,70.01
"913",736114.135416667,69.96
"914",736114.145833333,70.23
"915",736114.15625,69.96
"916",736114.166666667,70.3
"917",736114.177083333,70.3
"918",736114.1875,70.31
"919",736114.197916667,70.49
"920",736114.208333333,70.42
"921",736114.21875,70.56
"922",736114.229166667,70.63
"923",736114.239583333,70.89
"924",736114.25,70.58
"925",736114.260416667,70.86
"926",736114.270833333,70.97
"927",736114.28125,71.08
"928",736114.291666667,71.02
"929",736114.302083333,71.19
"930",736114.3125,71.29
"931",736114.322916667,71.43
"932",736114.333333333,71.38
"933",736114.34375,71.29
"934",736114.354166667,71.64
"935",736114.364583333,71.39
"936",736114.375,71.49
"937",736114.385416667,71.75
"938",736114.395833333,72
"939",736114.40625,71.87
"940",736114.416666667,72.1
"941",736114.427083333,72.2
"942",736114.4375,72.09
"943",736114.447916667,72.08
"944",736114.458333333,71.94
"945",736114.46875,71.9
"946",736114.479166667,72.01
"947",736114.489583333,71.78
"948",736114.5,71.46
"949",736114.510416667,71.68
"950",736114.520833333,71.32
"951",736114.53125,71.37
"952",736114.541666667,71.14
"953",736114.552083333,71.08
"954",736114.5625,71.05
"955",736114.572916667,70.86
"956",736114.583333333,70.55
"957",736114.59375,69.83
"958",736114.604166667,69.38
"959",736114.614583333,68.76
"960",736114.625,68.42
"961",736114.635416667,68.15
"962",736114.645833333,67.94
"963",736114.65625,66.94
"964",736114.666666667,66.1
"965",736114.677083333,66.44
"966",736114.6875,66.06
"967",736114.697916667,66.25
"968",736114.708333333,65.79
"969",736114.71875,66.19
"970",736114.729166667,65.65
"971",736114.739583333,65.66
"972",736114.75,65.15
"973",736114.760416667,64.79
"974",736114.770833333,64.8
"975",736114.78125,64.99
"976",736114.791666667,64.22
"977",736114.802083333,64.62
"978",736114.8125,64.8
"979",736114.822916667,64.79
"980",736114.833333333,64.97
"981",736114.84375,65.25
"982",736114.854166667,65.12
"983",736114.864583333,65.25
"984",736114.875,65.62
"985",736114.885416667,65.74
"986",736114.895833333,66.05
"987",736114.90625,66.16
"988",736114.916666667,66.32
"989",736114.927083333,66.29
"990",736114.9375,66.63
"991",736114.947916667,66.76
"992",736114.958333333,66.87
"993",736114.96875,67.18
"994",736114.979166667,67.22
"995",736114.989583333,67.15
"996",736115,67.41
"997",736115.010416667,67.54
"998",736115.020833333,67.43
"999",736115.03125,67.58
"1000",736115.041666667,67.68
"1001",736115.052083333,67.81
"1002",736115.0625,67.9
"1003",736115.072916667,67.95
"1004",736115.083333333,68.08
"1005",736115.09375,67.97
"1006",736115.104166667,67.93
"1007",736115.114583333,68.02
"1008",736115.125,68.21
"1009",736115.135416667,68.2
"1010",736115.145833333,68.15
"1011",736115.15625,68.16
"1012",736115.166666667,68.25
"1013",736115.177083333,68.32
"1014",736115.1875,68.41
"1015",736115.197916667,68.31
"1016",736115.208333333,68.33
"1017",736115.21875,68.48
"1018",736115.229166667,68.43
"1019",736115.239583333,68.49
"1020",736115.25,68.57
"1021",736115.260416667,68.36
"1022",736115.270833333,68.3
"1023",736115.28125,68.84
"1024",736115.291666667,69.12
"1025",736115.302083333,69.16
"1026",736115.3125,69.31
"1027",736115.322916667,69.2
"1028",736115.333333333,69.5
"1029",736115.34375,69.43
